First Name,Last Name,Date,CLASS,SCOUT_NAME,PLAYER_SCHOOL,CONFERENCE,DIVISION,HEIGHT_IN,WEIGHT,POSITION1,POSITION2,THROWING_SIDE_R_L,BATTING_SIDE_R_L_S,OPPONENT_SCHOOL,OPPONENT_CONFERENCE,GAME,INNINGS_PITCHED,HITS_ALLOWED,RUNS_ALLOWED,STOLEN_BASES_ALLOWED,WALKS,STRIKEOUTS_CALLED_VS_RIGHT,STRIKEOUTS_SWINGING_VS_RIGHT,STRIKEOUTS_CALLED_VS_LEFT,STRIKEOUTS_SWINGING_VS_LEFT,HOME_RUNS_ALLOWED,GROUNDOUTS,FLYOUTS,TIME_TO_HOME,PITCH_TOTAL,STRIKES_TOTAL,BATTERS_FACED,FIRST_PITCH_STRIKES,HITS_ALLOWED_LEFT_SIDE,HITS_ALLOWED_MIDDLE,HITS_ALLOWED_RIGHT_SIDE,FASTBALL_VELO_MIN,FASTBALL_VELO_MAX,FB_PITCH_TYPE,TOTAL_SWINGS_FASTBALL,SWINGS_AND_MISSES_FASTBALL,CHASE_SWINGS_FASTBALL,HARD_CONTACT_FASTBALL,BREAKING_BALL_VELO_MIN,BREAKING_BALL_VELO_MAX,BB_PITCH_TYPE,TOTAL_SWINGS_BREAKING_BALL,SWINGS_AND_MISSES_BREAKING_BALL,CHASE_SWINGS_BREAKING_BALL,HARD_CONTACT_BREAKING_BALL,THIRD_PITCH_VELO_MIN,THIRD_PITCH_VELO_MAX,THIRD_PITCH_TYPE,TOTAL_SWINGS_THIRD_PITCH,SWINGS_AND_MISSES_THIRD_PITCH,CHASE_SWINGS_THIRD_PITCH,HARD_CONTACT_THIRD_PITCH,FOURTH_PITCH_VELO_MIN,FOURTH_PITCH_VELO_MAX,FOURTH_PITCH_TYPE,TOTAL_SWINGS_FOURTH_PITCH,SWINGS_AND_MISSES_FOURTH_PITCH,CHASE_SWINGS_FOURTH_PITCH,HARD_CONTACT_FOURTH_PITCH,SCOUTING_NOTES,INJURY_NOTES,CHARACTER_NOTES,PITCHING_NOTES,FIELDING_NOTES,ATHLETE_NOTES,VIDEO_EXISTS,SCHOOL_ID,SCOUT_ID,GAME_KEY,MATCH_ID,-,DIVISION,DATE,AGE,FIRST&LAST,STRIKE %,K/9,BB/9,MISS%,CHASE%,FB MISS%,FB CHASE%,BB MISS%,BB CHASE%,NameHSGradYR,,,
Ryne,Nelson,3/18/2019,Jr.,Chris Weikel,University of Oregon,Pacific-12 Conference,1,75,184,P,0,R,R,University of Washington-Seattle Campus,Pacific-12 Conference,University of Washington-Seattle Campus_vs_University of Oregon_03/18/2019,5.33,3,0,0,1,1,4,0,3,0,4,4,1.81,92,64,21,14,1,1,1,91,98,4-Seam,33,11,6,1,85,91,Slider,3,1,2,0,91,98,Cutter,12,6,3,2,78,79,Curveball,1,0,1,0,0,0,0,0,0,0,Y,2213,204,,1679,,01,43542,21,Ryne Nelson,69.6,13.5,1.7,36.7,24.5,33.3,18.2,33.3,66.7,RyneNelson2016,,DIV,DIV TEXT
Kyle,Martin,3/17/2019,Jr.,Tommy Kyle,Fordham University,Atlantic 10 Conference,1,75,215,P,INF,R,R,Towson University,Colonial Athletic Conference,Towson University_vs_Fordham University_03/17/2019,1,0,0,0,0,0,0,0,1,0,1,1,0,17,11,3,3,0,0,0,89,95,4-Seam,5,1,0,0,83,85,Slider,2,1,1,0,85,89,Changeup,1,0,0,0,0,0,0,0,0,0,0,"Martin is a tall and athletic built reliever for Fordham. Has a low 3/4 delivery and utilizes his lower half on his pitches. Has an interesting leg kick in his delivery as he winds up to throw. Has three pitches in his arsenal which are a fastball, slider",No,Martin is the team's closer and came in with a good attitude to finish the game. Was very effective and you could hear his grunt with every pitch as he put everything behind each pitch.,"Came in for the 9th inning with a 6-1 lead over Towson. In his one inning of work, threw 17 pitches with 11 of them being strikes. Got one strikeout swinging and forced one groundout and one flyout. Very effective in his appearance and definitely showed w",N/A,Yes,Y,711,108,,5394,,01,43541,21,Kyle Martin,64.7,9.0,0.0,25.0,12.5,20.0,0.0,50.0,50.0,KyleMartin2016,,1,01
Josh,Burgmann,3/17/2019,So.,Chris Weikel,University of Washington-Seattle Campus,Pacific-12 Conference,1,72,205,P,0,R,R,University of Oregon,Pacific-12 Conference,University of Oregon_vs_University of Washington-Seattle Campus_03/17/2019,6,4,0,0,2,0,3,1,4,0,7,2,1.55,83,54,23,16,0,3,1,91,95,4-Seam,16,1,0,4,80,83,Slider,9,6,5,1,78,83,Curveball,8,4,4,0,91,92,Cutter,1,1,1,0,0,0,0,0,0,0,Y,2254,204,,8887,,01,43541,20,Josh Burgmann,65.1,12.0,3.0,35.3,29.4,6.3,0.0,66.7,55.6,JoshBurgmann2017,,2,02
Casey,Cobb,3/17/2019,Jr.,Nick Filipich,The University of Alabama,Southeastern Conference,1,70,190,P,0,R,0,University of Mississippi,Southeastern Conference,University of Mississippi_vs_The University of Alabama_03/17/2019,1.67,3,3,0,1,1,1,0,0,0,1,2,0,36,23,9,4,2,1,0,90,94,4-Seam,13,2,0,1,77,78,Slider,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Compact build at 5-10 190. high 3/4 arm angle,N/A,No concerns,Threw strikes and pitched to contact but hitters were seeing it well. He game into a game where all he could do was try to minimize damage already done.,0,0,Y,2126,64,,12090,,01,43541,21,Casey Cobb,63.9,10.8,5.4,13.3,0.0,15.4,0.0,0.0,0.0,CaseyCobb2016,,3,03
Kyle,Cameron,3/17/2019,RS-Jr.,Nick Filipich,The University of Alabama,Southeastern Conference,1,77,220,P,0,R,0,University of Mississippi,Southeastern Conference,University of Mississippi_vs_The University of Alabama_03/17/2019,0.33,2,3,0,1,0,0,0,0,0,0,1,0,23,16,5,3,0,1,1,88,92,4-Seam,6,0,0,1,79,80,Curveball,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,build strong build at 6-5 220,N/A,No concerns,Came into a bases loaded situatuion and only got one out. He was put in a tough situation and couldn't get two outs toget out of the inning. Not his best day.,0,0,Y,2126,64,,12134,,01,43541,22,Kyle Cameron,69.6,0.0,27.3,0.0,12.5,0.0,0.0,0.0,50.0,KyleCameron2015,,HS,HS
Wil,Freeman,3/17/2019,Jr.,Nick Filipich,The University of Alabama,Southeastern Conference,1,73,205,P,0,R,0,University of Mississippi,Southeastern Conference,University of Mississippi_vs_The University of Alabama_03/17/2019,2.33,3,4,0,1,0,0,0,0,0,4,3,0,36,22,11,5,1,1,1,88,90,4-Seam,15,2,0,1,79,80,Curveball,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,good medium proportional build at 6-1 205,N/A,No concerns,Pitched 2 and 1/3. Did a good job early of pitching to contact and letting his defense worked but in the third inning he began to lose command of his stuff and hits started falling.,0,0,Y,2126,64,,12133,,01,43541,21,Wil Freeman,61.1,0.0,3.9,11.8,0.0,13.3,0.0,0.0,0.0,WilFreeman2016,,JC,JC
Michael,Cowell,3/16/2019,RS-Jr.,Tommy Kyle,Fordham University,Atlantic 10 Conference,1,72,190,P,INF,R,R,Cornell University,The Ivy League,Cornell University_vs_Fordham University_03/16/2019,3,1,0,1,2,0,3,0,0,0,4,0,0,53,29,12,4,0,1,0,87,92,4-Seam,9,2,0,1,75,79,Curveball,3,2,0,0,81,85,Changeup,3,2,0,0,0,0,0,0,0,0,0,Cowell is an average height and athletic built right-handed relief pitcher for Fordham. His throwing motion is a high 3/4 delivery with a high leg kick. He utilizes his lower half for his pitches and falls off in the middle of the mound with his delivery,No,Good attitude on the mound. Was very consistent in his outing and seemed to be in the zone in his three innings of work.,"In his three innings of work, he allowed 1 hit, 2 walks and struck out 3 hitters swinging. Threw 59 pitches with 29 strikes. Very good outing and limited Cornell from adding runs to their 1-0 lead.",N/A,Yes,Y,711,108,,12097,,01,43540,22,Michael Cowell,54.7,9.0,6.0,40.0,0.0,22.2,0.0,66.7,0.0,MichaelCowell2015,,NAIA,NAIA
Colton,Hunter,3/16/2019,Jr.,Eric Droegemeier,Southwestern University,Southern Collegiate Athletic Conference,3,73,210,P,0,R,R,Schreiner University,Southern Collegiate Athletic Conference,Schreiner University_vs_Southwestern University_03/16/2019,8.33,11,6,0,3,0,7,2,0,0,6,4,1.41,142,86,39,19,6,2,1,73,83,4-Seam,40,8,0,9,66,71,Slider,10,4,1,1,71,75,Changeup,16,11,4,2,0,0,0,0,0,0,0,"His stuff is less than mediocre, but he really knows how to pitch and control the pace of the game. Keeps hitters guessing by changing locations and locating well on the corners. only hit 83 once, was normally hovering in the high 70's on his fastball",0,0,"He was dominant for the first 3 innings, manager left him in far too long and it really hurt him in the 8th and 9th.","Stopped a hot shot liner up the middle to prevent a run scoring single, hustled off the mound to make the play","Weight is not listed anywhere on the roster or online. Average build, looks short than his listed height.",Y,1888,52,,12096,,03,43540,21,Colton Hunter,60.6,9.7,3.2,34.8,7.6,20.0,0.0,40.0,10.0,ColtonHunter2016,,,
Benjamin,Ludwig,3/16/2019,Fr.,Eric Droegemeier,Southwestern University,Southern Collegiate Athletic Conference,3,71,185,P,0,R,R,Schreiner University,Southern Collegiate Athletic Conference,Schreiner University_vs_Southwestern University_03/16/2019,5,4,3,0,2,1,1,0,1,0,5,5,1.84,82,46,22,12,3,1,0,75,83,4-Seam,28,5,0,5,67,40,Curveball,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Very simple mechanics, looks like he's throwing BP which really hurts his velos. 3/4 slot and short arm action, curveball has some break but he hangs it a lot.",0,0,0,0,"Weight is not listed on the roster, weight I gave is from his perfect game profile",Y,1888,52,,12095,,03,43540,19,Benjamin Ludwig,56.1,5.4,3.6,20.6,0.0,17.9,0.0,33.3,0.0,BenjaminLudwig2018,,Report Year Class,Years from Grad
Brady,Batten,3/16/2019,Sr.,Jerrod Blackmon,Houston Baptist University,Southland Conference,1,72,195,P,0,R,R,Stephen F Austin State University,Southland Conference,Stephen F Austin State University_vs_Houston Baptist University_03/16/2019,5.33,6,4,2,3,0,1,1,0,0,5,6,1.28,90,52,23,12,4,2,0,84,89,4-Seam,22,5,1,6,75,80,Slider,9,2,1,0,76,81,Changeup,6,0,0,0,0,0,0,0,0,0,0,"Small frame; thin but athletic with sloped shoulders. Proportional body throughout. Starts windup delivery with a small side step and drops hands to belt level. Brings leg left leg up just above belt high, and begins to break hands as he bends his back le",No injuries,"Went and pitched his game well early on. When he got tired towards his last few batters, and allowed his walks, he just seemed slightly frustrated.","Threw well, especially early on. Pitched his best in the third and fifth innings where he threw a combined 19 pitches. Threw a high percentage of strikes in the third and fifth, and allowed his defense to help get quick outs. Seem to tire quickly going in",Showed quick feet on a pick off move to first to get runner. Came off the mound quickly and cleanly on a couple bunt attempts. Moves well at his position.,"So far the best athlete for a pitcher I have scouted this year. Moves well off the mound, and is ready to field his position after each pitch.",Y,911,18,,407,,01,43540,22,Brady Batten,57.8,3.4,5.1,18.9,5.4,22.7,4.5,22.2,11.1,BradyBatten2015,,HS-Fr.,-3
