GAME_DATE,LAST_NAME,FIRST_NAME,FULL NAME,DRAFTED?,TIER,ROUND,PICK,TEAM,CLASS,SCOUT_NAME,PLAYER_SCHOOL,CONFERENCE,HEIGHT_IN,WEIGHT_LBS,POSITION1,POSITION2,BATTING_SIDE_R_L_S,THROWING_SIDE_R_L,OPPONENT_SCHOOL,OPPONENT_CONFERENCE,GAME,BP_HOME_RUNS_PULL,BP_HOME_RUNS_MIDDLE,BP_HOME_RUNS_OPPOSITE_FIELD,AT_BATS,WALKS,HITS,RUNS,STOLEN_BASES,RBIS,HOME_1ST_TIME,NUMBER_OF_SWINGS,SWING_AND_MISSES,CHASE_SWINGS,SWINGS_FB,LENGTH_OF_AT_BAT_PITCHES,HARD_CONTACT_PULL_SIDE,HARD_CONTACT_MIDDLE,HARD_CONTACT_OPPOSITE_FIELD,ABOVE_AVERAGE_DEFENSIVE_PLAYS,ERRORS_COMMITTED,PRESENT_HITTING,PRESENT_POWER,PRESENT_RUNNING,PRESENT_FIELDING,PRESENT_ARM,FUTURE_HITTING,FUTURE_POWER,FUTURE_RUNNING,FUTURE_FIELDING,FUTURE_ARM,PLAYERID,SCHOOLID,SCOUTID,GAMEKEY,COMMENTS,AVG GRADE
03/27/2018,Bart,Joey,"Bart, Joey",Y,1,1,2,Giants,Jr.,Kasen Rainey,Georgia Tech University,Atlantic Coastal Conference,75,225,C,1B,R,R,Georgia Southern University,Sun Belt Conference,GeorgiaSouthernUniversity_at_GeorgiaTechUniversity,,,,4,0,1,0,0,0,4.24,6,0,1,2,5,1,0,0,1,0,35,35,40,45,50,45,50,40,55,55,1614,40,91,1627,,41
04/17/2018,Bart,Joey,"Bart, Joey",Y,1,1,2,Giants,Jr.,Kasen Rainey,Georgia Tech University,Atlantic Coastal Conference,75,225,C,,R,R,Kennesaw State University,Atlantic Sun Conference,Kennesaw State University_AT_Georgia Tech_04/18/2018,,,,2,3,2,4,0,0,4.4,8,1,0,7,4,2,1,1,1,0,40,35,35,45,45,50,50,35,55,50,1614,40,91,2716,A catcher who will carry an above average bat with leadership qualities and tools behind the plate. Should be a top 15 pick come June. Cementing his status as the best catcher in the draft and is rising up draft boards.,40
03/03/2018,Bohm,Alec,"Bohm, Alec",Y,1,1,3,Phillies,Jr.,Andrew Stockmann,Wichita State University,American Athletic Conference,77,220,3B,,R,R,"University of Nebraska, Lincoln",Big Ten Conference,"University of Nebraska, Lincoln_AT_Wichita State University_03/04/2018",,,,4,2,1,3,0,4,,8,2,1,5,5.2,1,0,0,0,1,55,60,40,45,45,60,65,40,45,45,500,12,109,2041,,49
05/04/2018,Bohm,Alec,"Bohm, Alec",Y,1,1,3,Phillies,Jr.,Andrew Stockmann,Wichita State University,American Athletic Conference,77,220,3B,,R,R,University of Cincinnati,American Athletic Conference,University of Cincinnati_AT_Wichita State University_05/05/2018,,,,4,0,3,1,0,2,4.4,6,0,0,3,2.25,0,0,1,0,0,55,60,40,45,45,60,65,40,45,45,500,12,109,4162,"Very strong and big body, ++ power potential, hits line drives to all fields, has potential to stay at 3B but could switch to 1B, big time MLB prospect with huge potential",49
05/18/2018,Madrigal,Nick,"Madrigal, Nick",Y,1,1,4,White Sox,Jr.,Russ Morgan,Oregon State University,Pac 12,68,165,2B,,R,R,Oregon State University,Pac 12,Oregon State University_AT_University of Southern Califonia,,,,4,1,1,0,0,3,,12,0,0,10,4.8,0,0,1,0,0,65,40,60,55,50,65,40,60,60,55,3057,512,80,4015,,54
05/03/2018,India,Jonathan,"India, Jonathan",Y,1,1,5,Reds,Jr.,Tyler Tumbleson,University of Florida,SEC,72,200,3B,,R,R,Texas A&M,SEC,University of Florida_AT_Texas A&M_05/04/2018,,,,5,0,0,0,0,0,4.26,9,1,1,8,5.8,1,1,0,0,0,50,45,55,55,50,60,60,55,65,50,2444,569,116,4120,,51
05/18/2018,Larnach,Trevor,"Larnach, Trevor",Y,1,1,20,Twins,Jr.,Russ Morgan,Oregon State University,Pac 12,76,210,OF,,L,R,University of Southern California,Pac 12,Oregon State University_AT_University of Southern Califonia,,,,5,0,1,1,0,1,,10,1,0,8,4.4,1,0,0,1,0,55,50,40,50,50,55,50,40,50,55,3073,512,80,4015,,49
04/06/2018,Hoerner,Nico,"Hoerner, Nico",Y,1,1,24,Cubs,Jr.,Matt Johnson,Stanford University,Pacific-12 Conference,71,195,SS,,R,R,UCLA,Pacific-12 Conference,Stanford University_AT_UCLA_04/06/2018,0,0,0,5,0,0,0,0,0,4.1,8,0,0,5,2.8,0,1,2,0,0,40,35,70,35,35,60,40,70,40,40,2425,510,60,8739,,43
05/05/2018,Hoerner,Nico,"Hoerner, Nico",Y,1,1,24,Cubs,Jr.,Nathan Zaltsman,Stanford University,Pacific-12 Conference,71,195,SS,INF,R,R,University of Utah,Pacific-12 Conference,Stanford University_AT_University of Utah_05/06/2018,,,,4,0,2,0,0,3,4.37,9,0,4,0,5,0,1,1,1,0,45,35,50,45,45,60,45,40,50,50,2425,510,124,4206,Really nice swing. I think hes gonna hit alot. Didn't see much action at short but made once nice play coming in on a ball. Arm action is a little weird. Got thrown out trying to steal third with 1 out. ,44
04/08/2018,Hoerner,Nico,"Hoerner, Nico",Y,1,1,24,Cubs,Jr.,Russ Morgan,Stanford University,Pac 12,71,195,SS,,R,R,"University of California, Los Angelos",Pac 12,Stanford University_AT_UCLA_04/08/2018,0,0,0,4,0,0,1,0,0,,9,1,1,7,4.5,0,0,0,1,0,35,20,35,40,40,40,20,35,40,40,2425,510,80,8743,,34
05/13/2018,Naylor,Noah,"Naylor, Noah",Y,1,1,29,Indians,Sr.,Zachary_John,Ontario Blue Jays 18U,CPBL,72,195,3B,C,L,R,Fieldhouse Pirates 18U,CPBL,Fieldhouse Pirates 18U_AT_Ontario Blue Jays 18U_05/13/2018,,,,3,0,2,2,1,1,,6,1,0,4,4.1,0,0,0,0,0,35,30,50,40,45,55,55,45,45,60,2990,1844,128,8771,,40
05/14/2018,Naylor,Noah,"Naylor, Noah",Y,1,1,29,Indians,Sr.,Zachary_John,Ontario Blue Jays 18U,CPBL,72,195,C,3B,L,R,Fieldhouse Pirates 18U,CPBL,Fieldhouse Pirates 18U_AT_Ontario Blue Jays 18U_05/13/2018,,,,2,2,1,3,0,0,,3,0,0,2,1.7,0,0,1,0,0,35,30,50,40,45,55,55,45,45,60,2990,1844,128,8771,,40
02/22/2018,Woods-Richardson,Simeon,"Woods-Richardson, Simeon",Y,1,2,48,Mets,Sr.,Tyler Tumbleson,Kempner High School,TX,75,200,SS,RHP,R,R,College Station High School,,Kempner High School_AT_College Station High School_02/23/2018,0,0,0,4,0,1,1,0,1,,5,0,0,4,5,2,0,0,0,2,35,35,50,35,40,50,55,50,55,50,2820,#REF!,116,,,39
02/24/2018,Jenista,Greyson,"Jenista, Greyson",Y,1,2,49,Braves,Jr.,Andrew Stockmann,Wichita State University,American Athletic Conference,76,220,CF,1B,L,R,University of Nebraska-Omaha,The Summit League,University of Nebraska-Omaha_AT_Wichita State University_02/25/19,0,0,0,4,0,1,1,0,2,4.33,4,1,1,3,2.75,0,0,1,1,0,45,50,45,45,50,55,60,45,55,50,574,12,109,484,,47
05/04/2018,Jenista,Greyson,"Jenista, Greyson",Y,1,2,49,Braves,Jr.,Andrew Stockmann,Wichita State University,American Athletic Conference,76,220,1B,OF,L,R,University of Cincinnati,American Athletic Conference,University of Cincinnati_AT_Wichita State University_05/05/2018,,,,2,2,1,2,0,0,4.3,7,3,3,5,4.25,0,0,0,0,0,50,55,45,50,40,55,60,45,50,45,574,12,109,4162,"Large body with positional versatility, chased several breaking balls in the dirt, intriguing propsect at end of first round, showed plate discipline with 2 walks, corner OF guy or 1B/DH",48
03/12/2018,Jenista,Greyson,"Jenista, Greyson",Y,1,2,49,Braves,Jr.,Zach Tallevast,Wichita State University,American Athletic Conference,76,220,OF,1B,L,R,University of Missouri,Southeastern Conference,Wichita State University_AT_University of Missouri_03/13/2018,N/A,N/A,N/A,2,2,0,1,0,0,4.67,8,4,4,1,4.8,1,0,0,0,0,64,62,52,55,61,66,67,54,57,66,574,12,113,870,,59
04/12/2018,Hannah,Jameson,"Hannah, Jameson",Y,1,2,50,Athletics,Jr.,Caleb Watkins,Dallas Baptist University,Missouri Valley,71,190,CF,,L,L,Southern Illinois University,Missouri Valley,Southern Illinois University_AT_Dallas Baptist University_04/13/2018,3,2,0,5,0,1,0,0,1,4.19,7,0,1,5,2.4,0,0,1,0,0,50,45,55,50,50,55,50,55,55,50,2399,299,119,8689,"This kid shows a ton of potential. Stocky body, quick runner, strong arm, long range in the outfield, robbed a BP homer. Hits for average but demonstrates raw power. Top prospect, will be drafted in the first few rounds.",50
04/28/2018,Hannah,Jameson,"Hannah, Jameson",Y,1,2,50,Athletics,Jr.,David_Gerth,Dallas Baptist University,Missouri Valley Conference,71,190,CF,,L,L,Valparaiso University,Missouri Valley Conference,Dallas Baptist University_AT_Valparaiso University_04/28/2018,,,,4,2,3,1,2,2,4.1,7,1,0,7,3.5,1,1,0,0,0,60,45,70,60,50,70,60,70,60,55,2399,299,46,3233,"Jameson Hannah is a junior outfielder for Dallas Baptist. He has plus speed and above average range in center field. He also gets good reads on pitchers when stealing bases, which allows him to take advantage of his plus speed. Hannah also has above average to plus bat speed and raw power. Hannah has a tendency to get over his front foot when swinging, which robs him of some home run power. Despite this, he hits the ball hard. Hannah shows good pitch recognition at the plate and takes good at bats. His below average arm strength is his biggest weakness and hampers his ability in center. Hannah has a ceiling of an everyday centerfielder and could be an All-Star someday. He should be drafted in rounds 1-3.",57
04/29/2018,Hannah,Jameson,"Hannah, Jameson",Y,1,2,50,Athletics,Jr.,David_Gerth,Dallas Baptist University,Missouri Valley Conference,71,190,CF,,L,L,Valparaiso University,Missouri Valley Conference,Dallas Baptist University_AT_Valparaiso University_04/29/2018,,,,4,0,0,0,0,0,,5,3,0,5,3,0,0,0,1,1,60,45,70,60,50,70,60,70,60,55,2399,299,46,3340,"Jameson Hannah is a junior outfielder for Dallas Baptist. He has plus speed and above average range in center field. He also gets good reads on pitchers when stealing bases, which allows him to take advantage of his plus speed. Hannah also has above average to plus bat speed and raw power. Hannah has a tendency to get over his front foot when swinging, which robs him of some home run power. Despite this, he hits the ball hard. Hannah shows good pitch recognition at the plate and takes good at bats. His below average arm strength is his biggest weakness and hampers his ability in center. Hannah has a ceiling of an everyday centerfielder and could be an All-Star someday. He should be drafted in rounds 1-3.",57
05/05/2018,Jeffers,Ryan,"Jeffers, Ryan",Y,1,2,59,Twins,Jr.,Steve Nagy,University of North Carolina Wilmington,Colonial Athletic Conference,76,225,C,,R,R,James Madison University,Colonial Athletic Conference,University of North Carolina Wilmington_AT_James Madison University_05/04/2018,,,,3,2,0,1,0,0,,4,4,3,0,4.25,0,1,0,0,0,25,35,20,25,25,35,40,25,30,30,2455,131,83,8532,,26
01/25/2018,Breaux,Josh,"Breaux, Josh",Y,1,2,61,Yankees,So.,Caleb Watkins,McLennan Community College,NJCAA,74,,DH,C,R,R,Angelina College,NJCAA,Angelina College_at_McLennan Community College,,,,4,0,1,1,0,4,,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,223,420,119,,,#DIV/0!
04/27/2018,Breaux,Josh,"Breaux, Josh",Y,1,2,61,Yankees,So.,Caleb Watkins,McLennan Community College,North Texas Junior College Athletic,74,215,C,P,R,R,Grayson College,North Texas Junior College Athletic,Grayson College_AT_McLennan Community College_04/28/2018,,,,3,2,1,0,0,1,4.37,4,0,0,3,3.4,0,1,1,0,0,50,55,45,45,70,55,60,45,50,75,223,420,119,3238,"Catcher and Closer. Needs to pick one or the other. On the mound he throws 95-100 with an okay curveball. overpowers hitters with his fastball. Transfers into a fast pop time of 1.84-1.89, makes it look effortless. Receiving and pitch framing needs work. Occassionally rushes plays too much. Strong powerful swing with a ton of pop to all fields. Always looking to drive the ball hard somewhere. Tough, always competing, will be a high draft pick. Transfering to University of Arkansas.",53
04/23/2018,Eierman,Jeremy,"Eierman, Jeremy",Y,1,CBB,70,Athletics,Jr.,Z. Tallevast,Missouri State University,Missouri Valley Conference,73,205,SS,INF,R,R,University of Missouri,Southeastern Conference,Missouri State University_AT_University of Missouri_04/24/2018,,,,4,0,1,1,0,0,4.05,9,2,1,4,3.5,4,0,0,1,0,50,55,50,50,65,70,65,55,55,65,2323,296,113,3056,"Future Major Leage 3B, elite hitter.",54
03/15/2018,Little,Grant,"Little, Grant",Y,1,CBB,74,Padres,So.,Caleb Watkins,Texas Tech University,Big 12,73,185,LF,2B,R,R,Baylor University,Big 12,Texas Tech University_at_Baylor University,,,,3,1,1,0,0,0,,4,0,2,3,2.8,0,1,0,0,0,30,30,,40,35,45,35,,45,40,1183,74,119,1005,,34
02/23/2018,Baker,Luken,"Baker, Luken",Y,1,2C,75,Cardinals,Jr.,Caleb Watkins,Texas Christian University,Big 12,76,265,1B,DH,R,R,Long Beach State,Sun Belt Conference,Long Beach State University_at_Texas Christian University,,,,4,1,2,2,0,2,4.82,9,0,2,7,4.8,2,0,1,1,0,55,65,25,35,30,60,65,30,45,35,2177,75,119,,,42
03/02/2018,Clemens,Kody,"Clemens, Kody",Y,1,3,79,Tigers,Jr,Harrison Grant,University of Texas,Big 12,72,185,3B,2B,L,R,Northwestern University,Big 10,Northwestern University_AT_University of Texas_03/03/2018,,,,4,0,2,2,0,3,4.83,9,3,0,3,5.5,2,0,1,1,0,40,35,40,40,35,60,50,50,50,45,612,70,51,1777,,38
