GAME_DATE,LAST_NAME,FIRST_NAME,FULL NAME,DRAFTED?,Tier,ROUND,PICK,TEAM,POSITION1,POSITION2,CLASS,SCOUT_NAME,PLAYER_SCHOOL,CONFERENCE,HEIGHT_IN,WEIGHT,THROWING_SIDE_R_L,BATTING_SIDE_R_L_S,OPPONENT_SCHOOL,OPPONENT_CONFERENCE,GAME,INNINGS_PITCHED,PITCHES_TOTAL,HITS_ALLOWED,RUNS_ALLOWED,STOLEN_BASES_ALLOWED,WALKS,GROUNDOUTS,FLYOUTS,STRIKE_BALL_PERCENTAGE,HITS_ALLOWED_LEFT_SIDE,HITS_ALLOWED_MIDDLE,HITS_ALLOWED_RIGHT_SIDE,FASTBALL_VELO_MIN,FASTBALL_VELO_MAX,TOTAL_SWINGS_FASTBALL,SWINGS_AND_MISSES_FASTBALL,CHASE_SWINGS_FASTBALL,HARD_CONTACT_FASTBALL,BREAKING_BALL_VELO_MIN,BREAKING_BALL_VELO_MAX,TOTAL_SWINGS_BREAKING_BALL,SWINGS_AND_MISSES_BREAKING_BALL,CHASE_SWINGS_BREAKING_BALL,HARD_CONTACT_BREAKING_BALL,THIRD_PITCH_VELO_MIN,THIRD_PITCH_VELO_MAX,TOTAL_SWINGS_THIRD_PITCH,SWINGS_AND_MISSES_THIRD_PITCH,CHASE_SWINGS_THIRD_PITCH,HARD_CONTACT_THIRD_PITCH,FOURTH_PITCH_VELO_MIN,FOURTH_PITCH_VELO_MAX,SWING_FOURTH,SWING_MISS_FOURTH,CHASE_FOURTH,HARD_FOURTH,PRESENT_FASTBALL_GRADE_20_80,PRESENT_CURVE_GRADE_20_80,PRESENT_SLIDER_GRADE_20_80,PRESENT_CHANGE_GRADE_20_80,PRESENT_OTHER_GRADE_20_80,PRESENT_CONTROL_GRADE_20_80,FUTURE_FASTBALL_GRADE_20_80,FUTURE_CURVE_GRADE_20_80,FUTURE_SLIDER_GRADE_20_80,FUTURE_CHANGE_GRADE_20_80,FUTURE_OTHER_GRADE_20_80,FUTURE_CONTROL_GRADE_20_80,FB_PITCH_TYPE,BB_PITCH_TYPE,THIRD_PITCH_TYPE,FOURTH_PITCH_TYPE,COMMENTS,PLAYERID,SCHOOLID,SCOUTID,GAMEKEY,AVG Grade
05/04/2018,Liberatore,Matthew,"Liberatore, Matthew",Y,1,1,16,Rays,P,,Sr.,Kurt Ascetta,Mountain Ridge High School,AZ,77,190,L,L,Hamilton High School,AZ,Hamilton High School_AT_Mountain Ridge High School_05/04/2018,6.67,106,2,1,2,3,6,300.00%,62.3,1,1,0,89,94,24,8,2,2,70,76,6,3,2,0,80,84,0,0,0,0,80,83,1,1,0,0,45,40,30,30,,35,60,60,45,45,,50,4-Seam,Curveball,Slider,Changeup,,2510,1838,5,8755,47
02/16/2018,Singer,Brady,"Singer, Brady",Y,1,1,18,Royals,P,,Jr.,Ryan Owens,University of Florida,Southeastern Conference,77,210,R,R,Siena College,Metro Atlantic Athletic Conference,Siena College_at_University Of Florida,7,,2,1,,1,5,4,70.5,,,2,90,96,27,6,,,69,77,10,3,1,,79,87,5,5,1,1,,,,,,,70,60,,50,,65,80,70,,60,,75,,,,,,320,5,39,,57
05/04/2018,Singer,Brady,"Singer, Brady",Y,1,1,18,Royals,P,,,Tyler Tumbleson,University of Florida,SEC,77,210,R,R,Texas A&M,SEC,University of Florida_AT_Texas A&M_05/04/2018,9,111,6,0,0,2,13,700.00%,71.2,2,3,1,90,96,36,6,9,4,78,85,20,2,6,3,77,81,2,0,0,0,,,,,,,55,,55,45,,55,65,,60,55,,65,2 Seam,Slider,Changeup,,,320,569,116,4120,49
04/12/2018,Rolison,Ryan,"Rolison, Ryan",Y,1,1,22,Rockies,P,,So.,Oliver Green,University of Mississippi,SEC,75,205,L,,Vanderbilt University,SEC,University of Mississippi_AT_Vanderbilt University_04/12/2018,5.67,,6,2,0,3,4,2,61,4,1,1,89,93,23,8,2,1,80,83,10,4,1,0,,,,,,,,,,,,,50,,40,,,40,60,,50,,,50,,,,,,1525,1765,40,8684,43
04/12/2018,Rolison,Ryan,"Rolison, Ryan",Y,1,1,22,Rockies,P,,So.,Oliver Green,University of Mississippi,South Eastern,75,205,L,,Vanderbilt University,South Eastern,University of Mississippi_AT_Vanderbilt University_04/12/2018,5.67,,6,2,0,3,4,2,61,4,1,1,89,93,23,8,2,1,80,83,10,4,1,0,,,,,,,,,,,,,50,,40,,,40,60,,50,,,50,,,,,,1525,1765,40,8684,44
03/21/2018,Rolison,Ryan,"Rolison, Ryan",Y,1,1,22,Rockies,P,,So.,Tyler Tumbleson,University of Mississippi,Southeastern,75,205,L,L,Texas A&M,Southeastern,University of Mississippi_AT_Texas A&M_03/22/2018,4,,6,4,0,3,6,3,61.50%,2,4,0,89,95,31,5,6,2,78,84,13,4,4,2,,83,0,0,0,0,,,,,,,50,,45,40,,40,50,,50,45,,50,,,,,,1525,265,77,2018,48
05/11/2018,McClanahan,Shane,"McClanahan, Shane",Y,1,1C,31,Rays,P,,RS-So.,Andrew Stockmann,University of South Florida,American Athletic Conference,74,188,L,,Wichita State University,American Athletic Conference,University of South Florida_AT_Wichita State University_05/11/2018,3,84,6,6,1,5,4,1,52.4,4,2,0,90,98,21,3,1,6,80,84,7,2,3,0,86,88,1,1,1,0,,,,,,,65,,50,55,,40,70,,55,60,,50,4-Seam,Slider,Changeup,,"Big arm but still a thrower, not a pitcher, fought command of all 3 pitches, especially FB, electric FB, could be special if he figures out how to locate, pretty wiry body with room to gain muscle, could use legs more in delivery, slider has sharp downward action",1342,145,109,3798,50
03/02/2018,McClanahan,Shane,"McClanahan, Shane",Y,1,1C,31,Rays,P,0,RS-So.,Jamie Quolas,University of South Florida,American Athletic Conference,74,188,L,L,Columbia University,The Ivy League,Columbia University_AT_University of South Florida_03/02/2018,6,,3,1,0,2,4,2,68,2,1,0,89,98,25,9,0,2,76,79,1,0,0,0,84,85,3,1,1,0,80,81,0,0,0,0,60,40,45,50,,45,70,45,60,55,,55,,,,,,1342,305,72,1958,48
02/16/2018,McClanahan,Shane,"McClanahan, Shane",Y,1,1C,31,Rays,P,,RS-So.,Jamie Quolas,University of South Florida,American Athletic Conference,74,188,L,L,University of North Carolina,Atlantic Coast Conference,"University of North Carolina, Chapel Hill_AT_University of South Florida",6,,3,,,6,4,2,63,1,1,1,91,100,28,10,,,76,80,1,1,,,84,87,1,1,,,80,82,4,2,1,1,60,40,45,50,,40,70,45,55,55,,50,,,,,,1342,612,79,,46
03/31/2018,Lynch,Daniel,"Lynch, Daniel",Y,1,1C,34,Royals,P,,Jr.,Scott Moore,University of Virginia,Atlantic Coast Conference,76,195,L,L,University of Pittsburgh,Atlantic Coast Conference,University of Virginia_AT_University of Pittsburgh_03/31/2018,7.33,,4,4,0,2,6,4,64.9,2,1,1,87,92,16,1,0,2,77,83,17,9,4,1,83,86,10,3,2,0,,,,,,,45,,45,40,,45,50,,50,50,,55,,,,,,1577,42,67,7976,47
04/07/2018,Bubic,Kris,"Bubic, Kris",Y,1,CBA,40,Royals,P,,Jr.,Matt Johnson,Stanford University,Pacific-12 Conference,75,220,L,L,UCLA,Pacific-12 Conference,Stanford University_AT_UCLA_04/07/2018,4,,7,5,0,2,2,4,62,4,2,1,89,93,15,3,1,3,74,78,6,2,2,1,80,84,15,7,4,2,85,88,3,0,0,0,55,50,30,60,,50,65,60,35,70,,60,,,,,,2238,615,29,8742,54
05/03/2018,Hjelle,Sean,"Hjelle, Sean",Y,1,2,45,Giants,P,,Jr.,Kelly Ramsey,University Of Kentucky,SEC,83,225,R,R,University Of Tennessee,SEC,University Of Kentucky_AT_University Of Tennessee_05/04/2018,5.67,95,10,5,0,0,3,1000.00%,62.0,3,3,4,89,94,28,6,0,7,77,81,5,0,2,0,79,81,8,2,2,2,77,81,8,2,1,0,65,50,55,60,,65,80,60,65,70,,70,4-Seam,Curveball,Slider,Changeup,,2424,573,92,4122,55
